article_id,published,title,url,feed_label
cd88676c,2018-02-22 00:03:16.000,Tonga: World Bank Drone-Led Damage Assessments Underway,https://reliefweb.int/report/tonga/tonga-world-bank-drone-led-damage-assessments-underway,NEWS WB- All Streams
e72cf1f7,2018-01-17 06:56:52.000,China's unstoppable momentum,https://gooruf.com/uk/news/2018/01/17/china-unstoppable-momentum/,NEWS AIIB - All Streams
44fcbdb7,2018-06-01 03:32:41.000,ADB agrees $375m loan for Madhya Pradesh irrigation project,https://www.txfnews.com/Ticker/Redirect/84616fcd-23d5-4964-8f72-a13f333eef2c?ShowSmallPage=True,NEWS ADB - All Streams
c77bc305,2018-02-06 06:46:17.000,Ethiopia: European Investment Bank Injects €3m Into M-Birr,http://allafrica.com/stories/201802060591.html,NEWS EIB - All streams
b6e91d1e,2018-05-02 01:58:00.000,"AIIB approves two new applicants, expands membership to 86",http://www.xinhuanet.com/english/2018-05/02/c_137150926.htm,NEWS AIIB - All Streams
eb93e49a,2018-02-13 09:15:00.000,"How to attract finance into real estate, by experts",https://newtelegraphonline.com/2018/02/300m-credit-world-bank-scores-nigerias-housing-finance-low/,NEWS WB- All Streams
50a4db7e,2018-01-07 08:08:40.000,AIIB eyes dollar bond,http://www.globaltimes.cn/content/1083718.shtml,NEWS AIIB - All Streams
c29a9119,2018-05-10 20:00:00.000,Six new peeping frogs discovered in western Mexico,https://news.mongabay.com/2018/05/six-new-peeping-frogs-discovered-in-western-mexico/,NEWS - Mongabay
fa38adc,2018-01-31 10:13:31.000,DLL and EIB Provide €200MM to Finance Small Businesses in Spain,https://www.monitordaily.com/news-posts/dll-eib-provide-e200mm-finance-small-businesses-spain/,NEWS EIB - All streams
1e0855,2018-04-21 12:27:00.000,"No need to devalue rupee again, says Miftah Ismail",https://tribune.com.pk/story/1691851/2-no-need-devalue-rupee-says-miftah-ismail/,NEWS ADB - All Streams
cbc769fe,2018-02-19 18:24:51.000,ADB assures commercial co-financing for Pak Railways' projects,https://pakobserver.net/adb-assures-commercial-co-financing-pak-railways-projects/,NEWS ADB - All Streams
e1df68e6,2018-04-10 20:00:00.000,"Investasi, Manajemen Ekonomi yang Kuat Dorong Pertumbuhan Indonesia",http://feedproxy.google.com/~r/adb_news/~3/-LPJT1oP4-w/415051,NEWS ADB - All Streams
1edee34c,2018-05-16 20:06:14.000,The misunderstood AIIB,https://www.lowyinstitute.org/the-interpreter/misunderstood-aiib,NEWS AIIB - All Streams
348b1459,2018-01-22 01:23:36.000,Belarus' ambassador to UK meets with EBRD vice president,http://eng.belta.by/economics/view/belarus-ambassador-to-uk-meets-with-ebrd-vice-president-108563-2018/,NEWS EBRD - All streams
9530156c,2018-01-17 23:15:00.000,Will China's growing influence affect international order?,https://www.indiatvnews.com/news/world-will-china-s-growing-influence-affect-international-order-422792,NEWS AIIB - All Streams
82197560,2018-04-25 11:44:30.000,Actualización Semanal: Nicaragua: Empresarios piden respeto a libertades | Respuestas de Coca-Cola y del BID | Otras noticias,https://mailchi.mp/b676bfa09e85/actualizacin-semanal-nicaragua-empresarios-piden-respeto-a-libertades-respuestas-de-coca-cola-y-del-bid-otras-noticias,NEWS - Business and Human Rights Resource Center
d49949d9,2018-01-31 06:59:00.000,EBRD partners with Libra Internet Bank to support expansion of Romanian businesses,http://www.finchannel.com/business/71186-ebrd-partners-with-libra-internet-bank-to-support-expansion-of-romanian-businesses,NEWS EBRD - All streams
5e516c8c,2018-05-22 16:58:30.000,African Development Bank and UNIDO join forces to accelerate Africa's industrialization,https://moderndiplomacy.eu/2018/05/22/african-development-bank-and-unido-join-forces-to-accelerate-africas-industrialization/,NEWS ADB - All Streams
91170a17,2018-03-10 05:34:32.000,"ADB, ISA sign pact to promote solar energy",https://www.moneycontrol.com/news/business/adb-isa-sign-pact-to-promote-solar-energy-2525169.html,NEWS ADB - All Streams
b8de804d,2018-01-27 23:50:23.000,Inter-American Development Bank Launches $3.75 Billion USD Global Bond,http://www.financecolombia.com/inter-american-development-bank-launches-3-75-billion-usd-global-bond/,NEWS IDB - All Streams
9c850255,2018-01-11 01:02:42.000,"Upturn in global economy will not last, says World Bank",http://www.wsws.org/en/articles/2018/01/11/bank-j11.html,NEWS WB- All Streams
